sim,lowlon144dun9.0,lon144dun9.0,LOwlon7273dun9.0,lon7273dun9.0
ACETOL-,23.0,26.0,29.0,29.0
ACID,5.66666666667,5.0,3.5,3.5
ACR,43.4,32.7,31.4,31.4
BIACET-,6.0,8.0,5.0,5.0
BUT2OL-,10.0,10.0,3.0,3.0
C2H4-,8.0,6.0,7.0,7.0
C2H6-,2.0,3.0,5.0,5.0
C3H6-,100.0,98.0,4.0,4.0
C3H8-,3.0,3.0,3.0,3.0
C4MDIAL-,100.0,11.0,3.0,3.0
C5H8-,10.0,1.0,7.0,7.0
C5HPALD1-,18.0,11.0,5.0,5.0
C5HPALD2-,18.0,3.0,6.0,6.0
C5PACALD1-,18.0,6.0,4.0,4.0
C5PACALD2-,3.0,98.0,4.0,4.0
CH3COCH3-,3.0,5.0,3.0,3.0
CH4-,6.0,5.0,5.0,5.0
CHO,11.4528301887,12.8113207547,9.24528301887,9.24528301887
CISOPA-,2.0,2.0,5.0,5.0
CISOPC-,2.0,1.0,3.0,3.0
CO2H,16.1395348837,16.3255813953,27.2790697674,27.2790697674
CO3,7.28169014085,8.30985915493,9.01408450704,9.01408450704
CO3H,16.3392857143,15.625,8.66071428571,8.66071428571
DHPMEK-,6.0,8.0,6.0,6.0
DHPMPAL-,5.0,5.0,89.0,89.0
DIEK-,4.0,8.0,3.0,3.0
ETHGLY-,8.0,8.0,12.0,12.0
GLYOX,29.25,30.125,19.0,19.0
HCOC5-,8.0,6.0,8.0,8.0
HIEPOXB-,4.0,4.0,2.0,2.0
HMAC-,5.0,7.0,5.0,5.0
HMML-,2.0,16.0,29.0,29.0
HO134C5-,6.0,6.0,3.0,3.0
HO13C5-,9.0,11.0,6.0,6.0
HO13CO4C5-,6.0,6.0,3.0,3.0
HVMK-,11.0,12.0,15.0,15.0
HYPERACET-,23.0,26.0,29.0,29.0
IEPOXA-,11.0,9.0,6.0,6.0
IEPOXB-,8.0,6.0,3.0,3.0
IEPOXC-,8.0,6.0,8.0,8.0
IPROPOL-,3.0,3.0,2.0,2.0
IPROPOLPER-,3.0,5.0,3.0,3.0
M3F-,5.0,4.0,3.0,3.0
MAE-,23.0,26.0,3.0,3.0
MEK-,13.0,13.0,3.0,3.0
MMALANHY-,5.0,5.0,5.0,5.0
MPRK-,9.0,9.0,4.0,4.0
MVK-,3.0,3.0,8.0,8.0
NBUTOL-,10.0,10.0,4.0,4.0
NC4H10-,10.0,10.0,3.0,3.0
NC5H12-,9.0,11.0,1.0,1.0
NO3,14.0149253731,14.9104477612,10.3582089552,10.3582089552
NOA-,10.0,5.0,29.0,29.0
NPROPOL-,7.0,3.0,6.0,6.0
O,31.8148148148,29.8148148148,23.1574074074,23.1574074074
O2,18.296,15.024,9.872,9.872
OH,18.7446808511,18.6382978723,19.5106382979,19.5106382979
OOH,23.8842105263,22.8947368421,11.6105263158,11.6105263158
PAN,5.81967213115,7.45901639344,24.0819672131,24.0819672131
PBN-,7.0,7.0,3.0,3.0
PHAN-,14.0,15.0,8.0,8.0
PPEN-,4.0,4.0,3.0,3.0
PPN-,6.0,5.0,3.0,3.0
PROPGLY-,9.0,6.0,29.0,29.0
PXYFUONE-,3.0,3.0,3.0,3.0
TISOPA-,4.0,4.0,7.0,7.0
TISOPC-,3.0,1.0,3.0,3.0
crigee,30.2,27.16,20.68,20.68
