,Flux,FluxIn,FluxOut,Closeness,EigenCentrality,PageRank,Betweenness,Authorities,Hubs,x_00,y_00,x_01,y_01,x_02,y_02,x_03,y_03,x_04,y_04,x_05,y_05,x_06,y_06,x_07,y_07,x_08,y_08,x_09,y_09,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,x_17,y_17,x_18,y_18,x_19,y_19,x_20,y_20,x_21,y_21,x_22,y_22,x_23,y_23,x_24,y_24,x_25,y_25,x_26,y_26,x_27,y_27,x_28,y_28,x_29,y_29
C4PAN1,8.85594837088e-05,7.85180684196e-05,9.8811123444e-05,0.976237358941,0.0,0.011885508995,0.0,7.65231660111e-18,4.58578013704e-13,-8.85806865255,2.73241776402,8.78376189805,73.7113818071,-36.2344878558,28.445509903,-38.5687755304,2.59560799736,-21.579165457,12.6834066562,-27.9058850771,-6.69569543188,-10.5729577491,-9.02708412103,4.87698289527,-6.21049088411,6.65581130466,-8.75715294765,-2.07740828958,-20.7963184624,9.07090313965,-8.23530957632,-0.779520887876,10.4622669287,-1.28300468748,10.6916612081,1.42830461253,-16.2287897229,3.64753589639,-20.7829424975,17.053629458,1.99522595438,1.61953184366,2.61127253651,25.7425263071,3.10066582221,26.0735371785,1.83939296315,19.2933208837,4.24612643292,14.8463062279,4.95284467957,14.6932639974,8.01297200648,14.2081397675,4.77778095001,4.74673171977,16.8239281973,10.6909585765,4.2013725605,9.58005475125,8.47736518628,12.5528446919,3.26344278123,13.571004517,3.74691392389,10.2343176842,1.61992242315,10.5833485989,4.73887425066
C4PAN2,4.07731454639e-06,3.4026903668e-06,4.76606248147e-06,0.998324902681,0.0,0.00836013179961,0.0,1.43702728889e-18,3.1620802088e-14,-37.2734693839,-7.12723270105,-72.871390218,27.7740570037,-69.0532242693,28.4063083419,-36.283328148,53.5720276698,-62.4964805734,32.9551488738,-12.4442811395,45.3831268832,-7.83106770534,43.7647073912,-39.2637589454,36.8990941352,-36.539845838,10.5397823291,-36.7054736545,10.857534665,-40.4302627101,2.96916237581,-31.8058338991,0.750557495004,-29.3256804488,5.86343382833,-29.1854232236,-0.348026818965,-25.9193335902,-1.65908074557,-17.0104938521,-17.9688604395,-23.3832991904,-3.9664721672,-18.5609638629,-16.0900935249,-18.0608755116,-15.5571415363,-16.4815154262,-15.1293120589,-15.4890340976,-14.5563686645,-16.0920278518,-10.0924471831,-15.2589428948,-10.1949750895,-1.05381798264,22.9235541123,-1.28771172655,20.051869733,-12.0350973192,-10.1439771732,-1.1201285436,17.9150691608,-2.34511432116,15.1346259116,-2.21239332386,14.6264452121,-2.48258777833,14.5766267326
C4PAN3,3.42485372474e-05,2.83887128489e-05,4.02310413979e-05,0.985579002666,0.0,0.00717429680574,0.0,3.50879039297e-18,2.75677145485e-13,5.88825240587,-14.2267240211,6.44090536299,-47.3806811918,-15.6319997717,-49.8313007386,-25.8792896626,-5.24742866024,-13.1887627496,18.6447143168,-15.3903138784,26.4865687386,-17.8136935861,29.0795405085,-24.3528620542,28.2994560863,7.35531933564,27.0719150087,4.29682942213,22.8088966602,1.4633183828,20.2487078052,-0.147120429565,19.6053709244,-2.55598366783,14.5796760076,-0.666046052383,18.3647808931,-5.94034217645,16.6915072963,14.8844915539,-0.417726336386,-3.62049080339,17.3136435113,26.7867836743,1.25955380108,26.6384010969,-1.25904300447,18.7284872806,2.29774276035,9.42145576745,-18.938811735,9.32147471743,-18.2645078806,8.91779255764,-20.5095381149,5.45550126196,-13.794853096,6.36391274967,-16.4488230916,9.58757054776,-19.7979762595,7.84408100458,-14.5687458706,7.52135474525,-13.7730019843,5.09050792302,-12.9813400518,11.5735252622,-5.35789740753
C4PAN5,1.16727123041e-08,1.13870572963e-08,1.19643477106e-08,0.999999560647,0.0,0.00807243262537,0.00251243656098,3.50879039297e-18,8.35168534766e-18,-18.4043300409,-0.344877300613,-41.9392017481,7.55371099451,-31.6656124521,-7.69017946538,-43.1370143603,12.7887272027,-40.5795604468,-6.6238195703,-40.7553267874,-7.9530763228,-36.8845516829,-14.291412887,-26.7732930047,-13.6442731733,27.306494344,-11.1068789296,24.2721444931,-9.26787810513,27.3150762612,-1.32113977401,18.3825575166,-3.87356158171,22.8005398456,-5.01407781101,18.2332312549,-4.83492110198,22.5351967661,0.0929713527033,2.32293990619,-5.4664527168,19.3950379981,-0.513340027848,3.06692318066,-9.24339369498,-1.40670398925,-10.9877568707,-2.30801013352,-6.67805399272,0.221238327319,-5.47462131409,2.85085277712,-2.75222088285,-3.182313937,-5.53793943148,-5.29251851614,-5.97490826857,-1.5977260652,-8.01266959658,-6.25807825124,0.142271229742,-0.971287691099,-9.28452315716,0.0304946158621,-8.54081108978,-0.0208765570625,-10.4014740507,1.08131778642,-10.5761421775
C4PAN6,2.67966202306e-06,2.42452916865e-06,2.94013627222e-06,0.999398670537,0.0,0.0284047311076,0.00733631475805,1.43702728889e-18,1.4446589227e-14,31.8906514925,20.2168668628,90.0770828379,81.9572069827,74.979113492,2.87859464031,49.0216842967,-27.6764664047,55.3426488158,-13.1302805192,46.6397995112,23.8490475043,33.833450381,6.86036346813,51.9171141097,3.13476704004,21.4383590105,-4.81255945739,-3.15170800116,-10.1336555641,29.3773409198,-5.91168615757,31.6851215488,17.170776794,31.772377794,9.09015604577,28.2354380075,8.89087365445,27.2545731898,14.3688362778,-25.5654814036,6.61718390238,23.5119353869,16.2131590701,-17.8337171012,3.79156849069,-18.784806965,3.37150274063,-18.5786887133,-0.0523283343703,-23.1917996298,-0.653458732265,-18.8155714073,15.3895962197,-15.869726023,13.4366841519,-21.2989223558,7.5259021171,-19.1773591251,10.4260295959,-21.6748915852,-0.851350785104,-18.7285272728,9.52272986669,-17.5803928215,9.89983104446,-16.4459935422,9.45032199628,-16.7525561912,10.7083438021
C535OOH,1.07093344015e-06,1.0577574063e-06,1.084385324e-06,0.999994061097,0.0,0.0119735408667,0.00211044671122,2.15554093334e-18,2.47564333989e-16,13.4118238556,-24.3058287234,27.8519528349,29.1580476216,-25.4524057226,63.3573427379,-29.5765664863,43.8776732113,-29.1088204374,33.3116595503,-24.1601994138,39.0677093273,-25.5249221024,41.0136001604,-3.86717830295,8.32465527707,16.1354075984,-1.97079678106,21.2216157011,-0.933706887111,14.9014048783,4.63972049098,22.5107196788,6.66951207099,18.8451783826,8.40107795933,20.9361720151,9.11035467257,21.2923504281,4.84889244855,-9.74307656597,14.9517279871,21.5736312073,5.42204249751,-17.8140015978,-5.35958704291,-17.3877946624,-4.47479513866,-20.4072402084,-6.59074857998,-20.6536141861,-8.07654549867,-12.6661251632,13.35012451,-16.6071316312,6.90061385033,-9.5988778784,18.1530457616,-8.99837820733,16.3380312063,-19.1201348614,-7.08112797575,-9.47803335889,15.0543641579,-9.68471278342,13.9719656643,-9.71338194158,13.317984764,-9.55600912991,13.3978627762
BUTALO2,0.000241223959446,0.000244888638349,0.000237482557783,0.999757466186,0.0,0.0029893871589,0.00201832403732,2.51126370244e-16,3.59809907865e-18,26.3858855355,11.8414265297,-54.5310099603,4.35711686535,-39.8937320972,16.9651743563,30.442951505,33.7871724995,19.5455038702,35.1662232527,26.6821975962,22.0148735136,26.4062369016,25.1144925312,15.9566117868,19.4905707806,-1.12355051631,6.9017680157,-1.09306607092,8.23034346961,-7.62987358781,6.39045410004,-6.44265877955,4.11210549985,-5.11650928433,-0.967746685884,-7.20490740079,1.89057933594,-9.82562219694,8.54788940029,2.71712146796,11.2083991649,-12.9872690119,13.5736341171,-2.22689570508,10.0933175833,3.22235197116,10.1858943114,1.55444010202,8.4460299894,-2.49376205977,10.0988532382,-5.53537234242,6.5441003576,-6.36765865313,4.23310896005,15.1180592975,-14.7068642639,15.6359923865,-14.1868218379,-7.05820470626,7.28980019722,14.6526057489,-14.4344445494,14.1552294152,-14.800911002,16.1013503408,-13.8880309061,11.9492065034,-14.6602594934
HO1CO3CHO,7.89620716829e-05,0.000121211615207,3.58280027587e-05,0.998908821732,0.0,0.00629683458612,0.00733631475805,8.01157342333e-18,4.35981679977e-13,-35.5904830319,11.4419713721,-96.6869866623,16.8781043763,-32.2219392867,19.3633138351,-58.9175175705,-4.67875695992,-45.2932487716,3.75124450966,-49.2352698643,5.93957547254,-47.4081060148,-0.210437031981,-42.0115699308,-6.43181841786,32.9488574403,-11.4068804616,36.0312878142,-14.2569248508,36.2369711941,-10.2885584813,31.5296362055,-10.8308608197,31.7541700527,-8.44457879612,23.9359675372,-7.92200225621,28.9394155401,-2.73573319502,5.19250099927,21.9144028124,22.8299008519,-6.3574080337,6.88015641893,17.8969114141,7.00880862081,22.2512347269,6.79036032148,21.5775682657,6.42897915391,20.4543014276,9.23242250847,18.9022361402,10.294269028,21.2302484753,-2.43134550488,-1.98112802773,-2.34706669948,-3.85784907096,10.3384088407,17.3883750607,-2.39745237277,-5.15796644024,-1.22872650393,-4.34814801062,-1.43783972917,-6.56257594981,-1.47932584102,-7.06257243537
CO2C3OOA,8.00262580678e-08,7.9205731979e-08,8.08639624763e-08,0.999978399914,0.0,0.00180124087079,9.21226739025e-05,1.01240913107e-16,8.75301603645e-16,-15.7214439733,-9.91480150547,-36.3170718542,-68.0090270726,9.91388352325,-70.284911118,-13.8646831315,-59.2446103149,-20.5072397917,-53.8370399437,-33.6606245622,-40.1864494724,-29.1318556732,-39.5182643035,-10.403738741,-34.7175192722,-14.1015635139,-19.2875652839,-11.3451914083,-20.3854315212,-0.334506726659,-22.6824644036,3.65682519543,-14.4434511045,-9.86639645458,-12.6350348052,-7.33487558017,-11.9540003797,-5.99180240829,-2.21405326653,17.7619042865,-11.8657676354,-7.36271179702,3.7880801404,14.1332451898,-7.74344891636,12.5324735369,-9.0310597509,12.3615556307,-9.95760878617,13.2426015062,-9.9766686124,14.5593571496,-8.663926953,14.2803678184,-10.4343674544,16.1337306117,15.3318411576,15.2111413132,14.4643861137,11.936930795,-9.65307003485,14.5976668558,14.7604736748,13.8823462081,14.5072946209,14.0714708945,14.3943202067,14.2293396343,13.6221141678
IEB1CHO,8.21567668846e-08,8.13164547933e-08,8.30146715301e-08,0.999892936679,0.0,0.00183721543203,0.00071185702561,2.79027674852e-18,5.03392580579e-19,16.1458843279,-1.74358809578,39.5121040563,-46.2480554921,23.7132326036,4.38220020567,29.0720840853,8.71387815072,16.8786424998,8.44137005026,5.67139654991,-0.00472478738604,12.1349636015,3.94748121703,-20.2512976586,-21.6956931794,-5.59152071204,45.6264775694,9.96197091366,38.9044131604,7.52232861958,29.2000604895,8.42448160931,26.7091064071,8.05033585362,26.4364560384,7.81004093587,24.4837944313,9.32922500502,24.4397840174,7.88641997663,-4.09292569593,5.73550066258,21.7660702536,8.37776709031,0.562635994127,8.41474550113,-2.07730383366,7.4627461594,-2.36857731774,8.81361924514,-2.88516870947,9.54236679407,-1.4348333589,11.3312024314,-2.38636506435,-14.2931874889,-14.9389951018,-13.5396642709,-13.3870442543,10.813245499,-2.06680640298,-11.2509730047,-13.7693446911,-13.1499673658,-11.6456416416,-8.54907857028,-13.6454024999,-9.2710463597,-13.2776226716
