"","Flux","FluxIn","FluxOut","Closeness","EigenCentrality","PageRank","Betweenness","Authorities","Hubs"
"C4PAN1",8.85594837087852e-05,7.85180684195748e-05,9.88111234439865e-05,0.976237358940667,0,0.0118855089950062,0,7.65231660110629e-18,4.58578013704223e-13
"C4PAN2",4.07731454638925e-06,3.40269036680329e-06,4.76606248147388e-06,0.998324902680647,0,0.00836013179960862,0,1.43702728889455e-18,3.16208020880423e-14
"C4PAN3",3.42485372473748e-05,2.8388712848883e-05,4.02310413979031e-05,0.985579002666061,0,0.00717429680573893,0,3.50879039296513e-18,2.75677145485054e-13
"C4PAN5",1.16727123041454e-08,1.13870572962805e-08,1.19643477105939e-08,0.999999560647421,0,0.00807243262537364,0.00251243656097684,3.50879039296513e-18,8.35168534765823e-18
"C4PAN6",2.67966202305866e-06,2.42452916864968e-06,2.940136272224e-06,0.999398670536766,0,0.0284047311076039,0.00733631475805236,1.43702728889455e-18,1.44465892269594e-14
"C535OOH",1.07093344014932e-06,1.05775740629933e-06,1.08438532400021e-06,0.999994061096501,0,0.0119735408666928,0.00211044671122054,2.15554093334183e-18,2.47564333989478e-16
"BUTALO2",0.000241223959445564,0.000244888638348562,0.000237482557782882,0.999757466185967,0,0.00298938715889895,0.00201832403731806,2.51126370244035e-16,3.59809907865235e-18
"HO1CO3CHO",7.89620716829479e-05,0.000121211615206659,3.5828002758701e-05,0.998908821732076,0,0.00629683458612064,0.00733631475805236,8.01157342332993e-18,4.35981679976747e-13
"CO2C3OOA",8.00262580678109e-08,7.9205731979035e-08,8.08639624763223e-08,0.999978399913508,0,0.00180124087079096,9.2122673902484e-05,1.01240913106506e-16,8.75301603644912e-16
"IEB1CHO",8.21567668845763e-08,8.13164547933448e-08,8.30146715301191e-08,0.999892936679159,0,0.00183721543203365,0.000711857025610103,2.79027674851786e-18,5.03392580579265e-19
"CHOPRNO3",0.000215297467056659,0.000229686049579819,0.000200607648930508,0.999110877378906,0,0.00443652197520102,0.0380131651675795,1.03163524290477e-10,3.09470649807309e-18
"HO1C3O",2.52758599938924e-05,5.28548037151091e-06,4.56847529792036e-05,0.99911958402345,0,0.00176011253042685,0.00138184010853726,3.50879039296513e-18,4.67923525440838e-18
"CHOCOHCO",1.71182580332328e-12,2.07798663177918e-13,3.24734086257025e-12,0.99999999957969,3.60198347360559e-27,0.00165508890056877,0.0025375609265866,5.58055349703571e-18,2.84301020778345e-18
"MVKOHANO3",3.15637613265467e-11,3.13837879666419e-11,3.17475025616751e-11,0.999999823859724,0,0.00165523448425098,0.00145721320536656,2.79027674851786e-18,0
"C524CO",4.1437423030605e-09,4.02491964707802e-09,4.26505259911221e-09,0.99999999610218,0,0.003600172970211,0.00173358122707402,6.29906714148299e-18,2.73759531728261e-14
"SC4H9NO3",6.88576601780507e-05,9.04185585503261e-05,4.68453684727812e-05,0.930498997196754,0,0.00166962173429726,0,2.79027674851786e-18,1.42150510389173e-18
"ISOPDOOH",2.80360453761407e-07,2.48483885700031e-07,3.12904381320203e-07,0.999987241408967,0,0.00174603898637827,0.00045223858097583,6.27468741540433e-16,3.09470649807309e-18
"IPROPOL",1.46967667796344e-06,1.53456598147501e-06,1.40342886895355e-06,0.999744560983734,0,0.00164816809916357,0.00389427666951409,3.14953357074149e-18,1.25618392041364e-16
"NC51O",2.25638619260778e-07,6.21970003317375e-09,4.4965123563226e-07,0.999711093009682,0,0.00213110019111499,0.00259618444634273,5.58055349703571e-18,1.93771316005304e-09
"IPRHOCO2H",1.63269165351678e-09,8.77083108739414e-10,2.40411942129575e-09,0.999996021668824,0,0.00214259007074397,0,1.75439519648257e-18,2.33961762720419e-18
"ETHGLY",2.38919098301109e-05,2.38118144740721e-05,2.39736820415893e-05,0.969964711846125,0,0.0017318660258654,0,3.82615830055315e-18,1.24501092086976e-14
"MACROH",5.67141402546764e-07,5.5091660465787e-07,5.83705878563619e-07,0.999999984458178,0,0.00523054090542201,0.00190107699780581,1.56638900244362e-17,5.2191695480746e-16
"MACROO",1.7494705615905e-06,1.73689816189364e-06,1.76230617376139e-06,0.999147123514753,0,0.00220819822591979,0,1.98920753326483e-14,2.59131391749382e-18
"C3MCODBPAN",1.431242868224e-07,1.28937383140109e-07,1.57608203812182e-07,0.999966489411605,0,0.00630938951004349,0,5.58055349703571e-18,8.08945805676125e-16
"ETHO2HNO3",8.54961219311007e-11,1.407041363211e-10,2.91322869814376e-11,0.999999988694362,0,0.00472919313741385,0,5.58055349703571e-18,2.84301020778345e-18
"HMGLOOA",3.94169177323153e-09,3.61229329673355e-09,4.27798645013928e-09,0.99999904747874,0,0.00177281864659749,8.37478853658945e-05,8.01157342332993e-18,3.79829823839466e-17
"ETHENO3O",1.79497103072686e-10,1.73604657291937e-11,3.45028190678282e-10,0.99999998752427,0,0.00213349709880562,5.86235197561262e-05,5.58055349703571e-18,3.84519385123747e-13
"DHPMPAL",5.30757196968094e-07,1.00188078776028e-06,4.97702858156876e-08,0.999999878445786,0,0.00569750080938593,0.00296467514195267,1.63824036688835e-17,6.28781269653183e-11
"INB1NBCO2H",2.47729662037407e-12,1.43701568115471e-12,3.53935660944084e-12,0.999999995427051,3.46054416790109e-27,0.00211205125926197,0,2.79027674851786e-18,0
"CO24C4CHO",6.01488395344177e-05,8.24838233736615e-05,3.73462563111644e-05,0.976459689663914,0,0.0138073338201398,0.00669145604073497,2.42264214336709e-17,4.65889861839883e-13
"HO2CO4C5O",6.25702511714668e-06,1.6303011680102e-06,1.09806129496049e-05,0.997898552239812,0,0.00172295134013506,0.000259618444634273,3.50879039296513e-18,4.73195179633526e-08
"HO3C5O",3.34060576723304e-09,1.2488349308683e-09,5.47616937110606e-09,0.999997579489045,0,0.00169107166652241,0.00149071235951292,5.58055349703571e-18,2.84301020778345e-18
"MACRO2",8.41631537904458e-06,5.65416356997654e-06,1.12362948764493e-05,0.999999884370161,3.40869064695224e-16,0.0134189255143763,0.0162973384922031,6.81176538502038e-15,1.34251018042988e-13
"IC3H7NO3",2.19402257129889e-05,3.66796088017445e-05,6.89226275228952e-06,0.991175373774391,0,0.00165819758104521,0,2.79027674851786e-18,1.42150510389173e-18
"C57AO",1.63273788940225e-09,5.00369698048631e-11,3.24857382178504e-09,0.999999874103083,0,0.00169649914467157,8.37478853658945e-06,5.58055349703571e-18,1.3860360487533e-17
"BUTALO",7.61248937374797e-06,8.3162599353143e-07,1.45353151373924e-05,0.99902697971374,0,0.00167837883981517,0.00154933587926905,6.29906714148299e-18,3.53672045757378e-14
"ACO3H",2.13457152924337e-07,2.09690057878343e-07,2.17303114887616e-07,0.999996046282869,0,0.00189480809749148,0,3.47780722490905e-16,2.63824144910015e-11
"BUT2OLAO",1.73336004027339e-07,5.29576916692092e-08,2.96234525269966e-07,0.999696107283943,0,0.00168047301068841,2.51243656097684e-05,3.14953357074149e-18,1.87554086147492e-15
"NC3OO",4.86441788486947e-07,4.85660966021996e-07,4.87238958046943e-07,0.999343841732309,0,0.00182939421399102,1.67495770731789e-05,1.75439519648257e-18,2.06160597802571e-16
"PEAOOH",0.000305606936917131,0.000303048071248565,0.000308219374328529,0.991843640574182,0,0.00362014050792552,0,7.65231660110629e-18,1.00678516115853e-18
"INAHCO3",3.62720046498011e-13,4.41417168944245e-13,2.82375341665148e-13,0.999999999931616,3.20858702206703e-27,0.0069926167553043,0.00217744501951326,2.15554093334183e-18,5.18262783498764e-18
"C4H9CHO",0.00024617452540374,0.000242683954173717,0.000249738174320712,0.996639201294491,0,0.00688230639665183,0.00895264894561412,7.01758078593027e-18,6.56984732884688e-14
"NBUTOL",9.49612409774688e-06,9.53168153859778e-06,9.45982223560791e-06,0.996117500503737,0,0.00167304612470208,0.00305679781585515,5.58055349703571e-18,4.67923525440838e-18
"HOC4H8OH",8.7663755837794e-07,8.78024473716476e-07,8.75221606942373e-07,0.996216106488997,0,0.00166333594653187,0,2.79027674851786e-18,2.33961762720419e-18
"C525OOH",3.0708772658523e-08,3.10040647705418e-08,3.04072983880269e-08,0.9999956878896,0,0.019676991656328,0,1.07777046667092e-18,2.59131391749382e-18
"HO13C4O",9.33630155010505e-07,1.91989919750995e-07,1.69079717639442e-06,0.999703630216307,0,0.0017279478973143,9.2122673902484e-05,1.43702728889455e-18,7.28626917839366e-09
"C534OOH",5.14733916509576e-07,5.10825106526683e-07,5.18724560316633e-07,0.999997126925976,0,0.0119465809007588,3.34991541463578e-05,3.50879039296513e-18,1.00678516115853e-18
"ISOPAOOH",3.65142006658799e-08,3.26599990610066e-08,4.0449092828188e-08,0.999999916598503,0,0.00164836823277958,0.000385240272683115,2.15554093334183e-18,5.18262783498764e-18
"IPROPOLO",5.83186615833614e-05,5.72633260640628e-06,0.000112012049813829,0.99371478797958,0,0.00188998503914775,0,3.50879039296513e-18,4.82701625037096e-07
"MAE",5.591569057043e-07,6.88989878509757e-07,4.26605783714366e-07,0.999412838119623,0,0.00184071238904405,1.67495770731789e-05,6.61482222338977e-15,2.30506364028632e-14
"HO1CO3C4O",1.65188155044844e-05,4.41420383605233e-06,2.88768461590492e-05,0.995084318212769,0,0.0017443962527509,0.00112222166390299,5.58055349703571e-18,1.24440989741813e-07
"ISOPCOOH",1.31677155126496e-08,1.16684131903748e-08,1.46984068364739e-08,0.999999499416023,0,0.00165639688214323,0.000519236889268546,2.15554093334183e-18,0
"HYPERACET",0.00733397291675338,0.00752946325592533,0.00713438984293545,0.999999955250905,0,0.0326812593784265,0.000226119290487915,1.33668238462997e-14,6.03068707767354e-07
"INB1NACO3H",1.14402562492607e-11,1.2080320477824e-11,1.07867918033005e-11,0.999999999564702,0,0.00555390537437479,0,1.07777046667092e-18,2.59131391749382e-18
"IEACO3H",2.18968406225114e-08,2.22846729424064e-08,2.15008887465341e-08,0.999993947983206,0,0.00739625012941396,0,5.22129667481207e-18,0
"C3DIOLOOH",1.33557954679174e-12,1.32824404212182e-12,1.34306862567017e-12,0.999999999831459,2.31720449446615e-27,0.0176544005707281,0,1.07777046667092e-18,2.59131391749382e-18
"INAHPCO3",7.77100319061379e-11,9.42091636288788e-11,6.0865478673994e-11,0.999999999811415,0,0.018044321388193,0.00175870559268378,1.11611069940714e-17,5.68602041556691e-18
"CISOPA",0.00038318598786284,0.000379257101048072,0.000387197128825076,0.996247296698036,0,0.00827596873653204,0.00413714553707519,1.14179187819949e-12,3.09470649807309e-18
"NC4OOA",7.53764210897688e-12,7.46035707567623e-12,7.61654516153487e-12,0.999999996517114,0,0.0016631538073659,0.00015074619365861,1.07777046667092e-18,7.55088870868898e-19
"CISOPC",2.17365237580057e-05,2.15136545091218e-05,2.19640589392334e-05,0.996854966864851,0,0.00998632154855979,0.00320754400951376,1.01097620473443e-13,1.25848145144816e-18
"MMALANHYO2",1.4427907656261e-07,1.4647907983687e-07,1.42033014594811e-07,0.999960697621778,0,0.0206985738475102,0.00265480796609886,1.00833365274005e-17,1.25848145144816e-18
"MEKAO",0.00013045162836865,5.91485725674125e-05,0.000203247466309808,0.997716162172537,0,0.00204722986122877,0.00489925129390483,5.93981031925935e-18,1.77845068710725e-17
"HO2C4O2",7.64218966642965e-05,4.96467874510262e-05,0.000103757562565901,0.999329177132779,0,0.00592225445939761,0.00906152119658979,1.60231468466599e-17,2.51696290289633e-18
"C536O",4.60958872196307e-09,1.52121682422627e-11,9.30015194238981e-09,0.999998132094341,0,0.00164775393102499,0,3.14953357074149e-18,3.19709146634926e-17
