"","Flux","FluxIn","FluxOut","Closeness","EigenCentrality","PageRank","Betweenness","Authorities","Hubs"
"C4PAN1",5.7076723374879e-05,5.81849064121748e-05,5.58862001773566e-05,0.923131137989339,2.45699039510415e-21,0.0116764782042622,0,3.4568807793645e-18,0
"C4PAN2",3.27969029475774e-05,3.20936763102365e-05,3.35523806951101e-05,0.941643059595444,3.15507844727779e-22,0.0100867274064308,0,1.19913789995585e-18,0
"C4PAN3",4.59110735132009e-05,4.67443050119228e-05,4.50159312896242e-05,0.925297609824887,2.69063667797885e-22,0.0121335095779399,0,1.70033380558164e-17,3.19229707150768e-18
"C4PAN5",5.39060397548434e-05,5.23679657064784e-05,5.55583957036893e-05,0.891713247656347,0,0.0086523297018764,0,3.4568807793645e-18,1.32438499709454e-18
"C4PAN6",0.00504252500412295,0.00533346234174286,0.00472997045509542,0.2204412555928,0,0.00981047178530475,0,3.84482505467463e-10,1.84868942659169e-15
"ETHENO3O",4.4736838906871e-05,5.7586034140325e-05,3.09329234162935e-05,0.949207020548904,0,0.0106081787077431,0,2.95423479679503e-18,2.00912466693697e-15
"BUTALO2",0.000169517177729509,0.000123947547694318,0.000218472720120592,0.969000295909618,1.30428555246393e-21,0.00892177102934305,0.193701940681069,7.23659051696151e-14,2.41310827099234e-15
"HO1CO3CHO",5.25578082938906e-05,2.92451658543438e-05,7.76026255179065e-05,0.974020169282453,3.0690909644782e-21,0.00904085194639847,0.0238008055657268,6.96491917386386e-19,2.71786217686482e-10
"NC3OO",3.506802484522e-05,3.38589414377459e-05,3.63669455071443e-05,0.938564409181863,0,0.00741555358708685,0.00476016111314537,6.17933640044351e-14,2.56072419644653e-17
"CHOPRNO3",8.95196931187085e-05,5.7654251119976e-05,0.00012375279958402,0.982252564588921,1.38255672724644e-22,0.0157775607542248,0.065543756865617,1.49394411112246e-17,2.49289395854842e-10
"HO1C3O",7.70002100475855e-05,8.83544811828477e-05,6.48022944302563e-05,0.946329019574868,0,0.0256072481091408,0.00768949102892713,2.39827579991171e-18,2.98010061660873e-15
"CHOCOHCO",4.47365599976206e-05,2.87929930162085e-05,6.18647650899338e-05,0.980843569125116,0,0.00989713184355943,0.00402782863419993,5.21197767620367e-18,2.19625144722998e-10
