"","Flux","FluxIn","FluxOut","Closeness","EigenCentrality","PageRank","Betweenness","Authorities","Hubs"
"CH3NO3",0.000285805199541175,0.000496029119030503,8.80902501436407e-06,5.0576452063786e-07,0.000678218582037401,0.0334328111644796,0.238636363636364,0.0809770625967631,2.17437498006274e-07
"C2H5O2",0.0179038176079815,0.0174980002329545,0.0162568035591095,5.05302966281073e-07,9.25739811896797e-18,0.113001240175659,1,0.054594993843669,0
"CH3OH",0.0107569366825305,0.0152762946519549,0.00425682258893163,4.41854313781685e-07,0.0208872150850428,0.0499158481842383,0,0.0809770625967631,0.000105073246096318
"PAN",0.506411037396639,0.44597918275219,0.516459504923722,4.69971110663373e-07,0,0.23688344112475,0,0.0377921442540444,8.88959177960955e-05
"IPROPOL",3.54456950013752e-06,3.7905857642937e-06,2.84092873969122e-06,5.0157137416135e-07,1.00376190835673e-21,0.0328967284738159,0.227272727272727,0,0
"CH4",0.31287747069446,0,0.637860774454721,2.22592813202058e-08,0,0.032879636641759,0,0,0.00106880825402198
"C2H5CO3",0.0058838531948474,0.00439806549942908,0.00690720976455495,5.03897195385835e-07,8.90901301604868e-20,0.145891025624987,0.238636363636364,0.0505250917533022,4.53297029801048e-16
"CH3O2",1,1,0.881784589458204,5.04278519856484e-07,0.662402632429821,1,0.954545454545455,0.504493986011825,1
"C2H5OH",4.77005500992079e-05,5.36446583279072e-05,3.5184827545852e-05,5.05883403255679e-07,1.05526713888394e-20,0.0332463207071536,0.409090909090909,0,0
"C3H6",0.000351710641979023,0,0.000717029647352871,5.05490491815256e-07,0,0.032879636641759,0,0,3.95766098590206e-06
"C3H8",0.00900161682611994,0,0.0183515235766548,3.0964971665139e-07,0,0.032879636641759,0,0,0
"NPROPOL",4.38053035091412e-06,0,8.93055187372418e-06,5.04061311900182e-07,0,0.032879636641759,0,0,0
"HOCH2CO3",0.415753231746459,0.21753744934164,0.595922086365191,5.04056683503619e-07,0,0.0898606904617511,0.238636363636364,0.121346317301704,0.00267994205491814
"C2H6",0.00909642666479071,0,0.0185448116295985,3.09838857043555e-07,0,0.032879636641759,0,0,5.5566460828261e-15
"CH3CHO",0.019114425443192,0.000390869007354224,0.0385162256661108,5.05455466411136e-07,2.86791824472055e-21,0.195337804963638,0.818181818181818,0,3.06718249008244e-06
"IC3H7O2",0.0155086399007706,0.0158625699224926,0.0132658154279336,5.01505848282511e-07,2.90621810844278e-18,0.0608273277872542,0.147727272727273,0,0
"NOA",0.000297479302467433,0,0.000606468653159842,5.01942702559761e-07,0,0.032879636641759,0,0,7.50418939649535e-06
"HCHO",0.214769015366446,0.139950157038987,0.275938494422417,5.05916264702898e-07,0.0640254854757791,0.291758122391406,0.181818181818182,1,3.29502598356549e-06
"HOCH2CH2O2",2.04750275655262e-06,3.43664977884662e-06,1.98341990989829e-07,5.0591564067921e-07,3.1479849001983e-23,0.0360729456187178,0.397727272727273,0,3.79911979682681e-09
"IC3H7OOH",0.00643935112896158,0.0112594099699486,0.00010175913863289,4.99893193821026e-07,2.66936849919276e-18,0.0836485563370053,0,0,0
"C2H5OOH",0.00792923374659561,0.0137713510446232,0.000233087739972169,5.01477958549667e-07,4.17334354039911e-18,0.127012680721399,0,0,0
"PHAN",0.253604190522938,0.229461032072193,0.251555664250735,5.28565564787638e-08,0,0.0669053088891725,0,0.0749109906201311,1.89863373384391e-08
"CH3COCH3",0.000308636233245436,0.000101785279801209,0.00051145806057674,5.01611001610631e-07,6.56073486944624e-21,0.131994404228937,0.409090909090909,0,4.44785679210902e-07
"HOCH2CO3H",0.121746249515695,0.208652535398386,0.00681144660616363,4.10648654445821e-07,0,0.0638197170508095,0,0.0749109906201311,0.00016813028745484
"HOCH2CHO",0.0170873019477816,3.84029078975107e-08,0.0348357001507707,5.05914965191384e-07,1.05396498555633e-23,0.0397479254948657,0.284090909090909,0.0696904127633059,0.000428721278301473
"C2H5CHO",0.000145701474153195,7.71933201903772e-06,0.000288109867611478,5.04214115480844e-07,2.77274879994448e-21,0.0608273277872542,0.238636363636364,0,1.60264431066837e-09
"PPN",0.00510677264353133,0.00461806064084273,0.00506846792205267,4.29968629323592e-07,1.87032177103037e-18,0.12879828843924,0,0.0038047476557754,2.06979782017504e-16
"C5H8",0.00277634864014149,0,0.00566011956637925,4.80615889064393e-07,0,0.032879636641759,0,0,1.82493026828503e-08
"CH3OOH",0.609044223102382,0.731370581944847,0.395525547794018,2.770005544711e-07,1,0.848508310599293,0,0.080977062596763,0.00122100739663845
"CH3CO3",0.760383074354723,0.475566899783502,1,4.99455450200717e-07,0,0.46516408643847,0.465909090909091,0.374365034249895,0.000489320372990186
"C2H5NO3",3.83067622949463e-05,6.6019850280234e-05,1.71683775587843e-06,5.0543635999349e-07,1.46307900050069e-20,0.0333309104097738,0.590909090909091,0,0
"CH3CO3H",0.17862324919953,0.303056331548213,0.0135496821389239,3.45396593830162e-07,0,0.171506386498035,0,0.0377921442540445,2.27040330577241e-05
"CO",0.146066840617289,0.257397700591533,0,5.04074945510816e-07,0.0315215131245358,0.337779262727325,0,0.619873349653639,0
"CH3CO2H",0.000130869070983262,0.000230616324740681,0,5.00942223032765e-07,7.44501442891921e-20,0.0432787771276936,0,0.148048036483411,0
"IC3H7NO3",0.000108981626161097,0.000192046462167898,0,4.97771901397451e-07,1.13626126100684e-19,0.0337455782356419,0,0,0
"HCOOH",0.00202673449985592,0.00357149369266702,0,4.23938905149953e-07,1.85292019123926e-19,0.0532814511030027,0,0.0431992295983353,0
