"","Flux","FluxIn","FluxOut","Closeness","EigenCentrality","PageRank","Betweenness","Authorities","Hubs"
"MACROO",4.78160976598333e-16,0,4.79661931036502e-16,6.25027364042707e-07,1.17579016374815e-17,0.278467505184547,0,1.0539606171404e-16,0
"HCOOH",0.00312923768195082,0,0.00313906040571264,1.55964142592289e-07,1.17579016374815e-17,0.278467505184547,0,1.0539606171404e-16,0.00313906054850511
"MVKOO",8.49912690210459e-16,0,8.52580578822998e-16,6.25027337932767e-07,1.17579016374815e-17,0.278467505184547,0,1.0539606171404e-16,0
"CO",0.997067538721367,0.000196731056738173,1,6.25027374262173e-07,2.33967673806017e-06,0.570394279368491,1,1,1
"MVK",0.00052658776470792,2.90199509898182e-08,0.000528211620511287,6.25027337932769e-07,2.91110454878878e-08,0.515164898705468,0.75,0,0
"MACR",6.36507520878207e-05,1.63266302316303e-08,6.38341748683218e-05,6.25027364042708e-07,1.63778800144655e-08,0.515164892531982,0.833333333333333,0,0
"CO2",1,1,0,1.56453518073707e-07,1,1,0,0,0
"MGLOO",0.000175519581585643,0.000175519581585643,0,6.24588188915183e-07,2.19072902410445e-06,0.424430893151096,0,0.5,0
"CH2OO",0.000196731056738173,0.000196731056738173,0,6.24974260243235e-07,2.3396767380603e-06,0.570394279368491,0,1,0
"MGLYOO",2.12114751525297e-05,2.12114751525297e-05,0,6.24974260243235e-07,1.48947713955592e-07,0.424430891401942,0,0.5,0
