"","Concpure144","Conc144","Hubs144","Authorities144","InDeg144","OutDeg144","Closeness144","Eigenvector144","Concpure216","Conc216","Hubs216","Authorities216","InDeg216","OutDeg216","Closeness216","Eigenvector216"
"NC7H16",2.7136689028132913e11,11.433556857895198,0.0,0.0,0.0,0.0,0.0018115942028985505,0.00919367880268197,1.0753853592079977e11,11.031564119496075,0.0,0.0,0.0,0.0,0.0018115942028985505,0.009133631035897694
"C2H5CHO",2.6046479713176388e10,10.415749034950244,0.10664290041273795,0.2743873970966591,4.0,4.0,0.039228310028147695,0.10656153837359854,4.477150577514836e10,10.651001701013797,0.106622943731147,0.2743873970966591,4.0,4.0,0.03922820389792847,0.1065440377960015
"CH3CO3",7.915090804107526e6,6.898455901573185,0.30693617162458114,0.39617821599302866,4.0,4.0,0.03919596949945649,0.30698658850713834,4.601419662524536e7,7.662891843959695,0.3063460233062046,0.39617821599302866,4.0,4.0,0.039192943498204305,0.30639593023643164
"C2H5O2",3.924280891398319e7,7.593760085664671,0.28698310682087047,0.3649426956008639,6.0,6.0,0.03890871723981392,0.28705780597577096,8.212518942610069e7,7.914476384292225,0.28845147072891125,0.3649426956008639,6.0,6.0,0.038913705928613915,0.2885325927557852
"C2H5CO3",1.7016755175741866e7,7.230876750600602,0.11049271483712451,0.19451353415310943,3.0,3.0,0.03893960744654208,0.11044700326839742,3.0530239135679923e7,7.484730206031367,0.11061707167781969,0.19451353415310943,3.0,3.0,0.03892970809362526,0.11057397521895276
"CH3CHO",2.895658457754349e10,10.46174733561212,0.4380032057278114,0.6426523081044774,8.0,8.0,0.039431687738525595,0.43810896506703406,6.820424980461591e10,10.833811436374821,0.4398645971958916,0.6426523081044774,8.0,8.0,0.03942701992145609,0.4399767518737829
"HCHO",1.2409624587716898e10,10.09375864354957,1.0,1.0,11.0,11.0,0.03927075596937071,1.0,3.877885279498448e10,10.588594957084684,1.0,1.0,11.0,11.0,0.0392684328723868,1.0
"CH3O2",2.0764959699475978e7,7.31733109257028,0.6072369975966011,0.6624962670476116,7.0,7.0,0.039099986234536074,0.6073630537390682,1.315613406587295e8,8.119128290454595,0.6039089599930056,0.6624962670476116,7.0,7.0,0.03909615232446512,0.604033233357573
"PAN",7.396161797079791e9,9.869006403137535,0.1954964636281167,0.43284711752404564,3.0,3.0,0.039201650797630765,0.19548269759473533,1.6186377799459503e10,10.209149672860296,0.19648884665166005,0.43284711752404564,3.0,3.0,0.03919864482352684,0.1964762955487954
"CH3CO3H",1.5718250837350395e8,8.196404215116049,0.08652900612668553,0.2147830470848523,2.0,2.0,0.0389017559808408,0.08650826416537549,8.22694457973708e9,9.915238571720264,0.08711632480603222,0.2147830470848523,2.0,2.0,0.03888256760174127,0.08709638253446353
"C2H5NO3",3.0716810026959455e8,8.487376111762357,0.13405345732666815,0.2044200824617387,2.0,2.0,0.038041090081391594,0.13412679215420548,1.3147704891652637e9,9.118849947511414,0.1350992447807876,0.2044200824617387,2.0,2.0,0.03803638549632862,0.13517535585167365
"C2H5OH",1.262300688981903e7,7.101162819259092,0.12502768468174644,0.27842416930883734,3.0,3.0,0.03882806349157271,0.1250428586509564,2.605028851041413e8,8.415812537531396,0.1252000628735002,0.27842416930883734,3.0,3.0,0.03882566007611419,0.12521667168679584
"C2H5OOH",4.0200552090332514e8,8.604232017466025,0.13263414213633049,0.2044200824617387,2.0,2.0,0.03804628148028695,0.13270608821874388,7.605168707691214e9,9.88110885257793,0.13366944602587147,0.2044200824617387,2.0,2.0,0.03804159471102749,0.13374415714686633
"PPN",1.7083238925868515e10,10.232570214963975,0.127072331023202,0.319435126480123,3.0,3.0,0.03896135109301547,0.12704931133476838,1.090084680240319e10,10.037460236227442,0.12805513840734845,0.319435126480123,3.0,3.0,0.038951520693732755,0.12803476791136134
"CH3OH",4.138215823245848e7,7.616813136982324,0.19635937880983936,0.33728593606800966,2.0,2.0,0.038566616477045484,0.19638985329394346,1.3828939421687438e9,9.140788874182284,0.1965866509110403,0.33728593606800966,2.0,2.0,0.03856133362295283,0.1966164857428557
"CH3NO3",2.0662178814650632e7,7.315176115697033,0.25430164061159005,0.33728593606800966,2.0,2.0,0.03849701820799901,0.2543631510529491,1.3052192987021871e8,8.11568348655156,0.25260727268763655,0.33728593606800966,2.0,2.0,0.03850814555682229,0.25266682260350865
"CH3OOH",2.3283265340099567e8,8.367043887478742,0.19535191183367112,0.33728593606800966,2.0,2.0,0.039080908949732776,0.1953858510040922,9.427506336993147e9,9.97439683300237,0.1951796083703222,0.33728593606800966,2.0,2.0,0.03907700863221852,0.19521298214131436
"HOCH2CH2O2",97.76513432489605,1.9901840013111045,0.4732142663401839,0.3647691912797721,3.0,3.0,0.03799675558278788,0.4733318427579565,4810.718503914711,3.6822099451849994,0.4742477975419388,0.3647691912797721,3.0,3.0,0.03799792454029226,0.4743643140441425
"NPROPOL",171.80216862472682,2.2350286415429994,0.011952685154276381,0.055667499476172305,1.0,1.0,0.03816376980215364,0.011898011667834205,5.4786432201948855e6,6.738673019261914,0.01199017699550766,0.055667499476172305,1.0,1.0,0.03815985902964555,0.011936325965448953
"HOCH2CHO",2601.912443430053,3.415292678092221,0.3799312038742467,0.5195381943348054,4.0,4.0,0.03925179231991353,0.37997801755601085,828214.1163896521,5.918142628506233,0.38168698380860877,0.5195381943348054,4.0,4.0,0.03924943956822197,0.38173380809330865
"HOCH2CO3",0.1700725339867812,-0.769365817493355,0.37978196891189164,0.4587129119265246,4.0,4.0,0.03889595831820519,0.37983055002759947,194.42410490895105,2.2887501082238026,0.38122377931302615,0.4587129119265246,4.0,4.0,0.038889932283996315,0.38127263769204256
"HOCH2CO3H",2.143730905828548,0.33117026915117054,0.07894634995445665,0.29594252913864727,2.0,2.0,0.03889536625165466,0.07892088683503279,16827.805988548214,4.2260274962978555,0.07676590443589025,0.29594252913864727,2.0,2.0,0.03888943395665934,0.07674000746380873
"PHAN",132.4231402183554,2.121963882316886,0.22124775964481916,0.44553410748770694,3.0,3.0,0.038876764245061625,0.22123842454928108,65459.28324328695,4.815971245622313,0.22330733442569237,0.44553410748770694,3.0,3.0,0.03886959374334063,0.2232991874777537
"CO",1.754441760659758e10,10.244138956225465,0.6386352526947964,0.7373430493020194,7.0,7.0,0.039603247777008146,0.6386788034146428,1.432423472297268e11,11.156071428931362,0.6415128084338747,0.7373430493020194,7.0,7.0,0.03959709032561288,0.6415592936841874
