id,rate,iupac_rate,reaction,category,time_stamp,datasheet
1,5.6D-34*N2*(TEMP/300)@-2.6*O2,none,O = O3,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/Ox1_O_O2_M.xhtml_mathml.xml
2,6.0D-34*O2*(TEMP/300)@-2.6*O2,none,O = O3,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/Ox1_O_O2_M.xhtml_mathml.xml
3,8.0D-12*EXP(-2060/TEMP),none,O + O3 =,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/Ox2_O_O3.xhtml_mathml.xml
4,KMT01,none,O + NO = NO2,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx1_O_NO.xhtml_mathml.xml
5,5.5D-12*EXP(188/TEMP),none,O + NO2 = NO,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx2_O_NO2.xhtml_mathml.xml
6,KMT02,none,O + NO2 = NO3,categories/uncategorised.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx3_O_NO2_M.xhtml_mathml.xml
7,3.2D-11*EXP(67/TEMP)*O2,none,O1D = O,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/Ox3_O_O2.xhtml_mathml.xml
8,2.0D-11*EXP(130/TEMP)*N2,none,O1D = O,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx6_O(1D)_N2.xhtml_mathml.xml
9,1.4D-12*EXP(-1310/TEMP),none,NO + O3 = NO2,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx24_NO_O3.xhtml_mathml.xml
10,1.4D-13*EXP(-2470/TEMP),none,NO2 + O3 = NO3,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx28_NO2_O3.xhtml_mathml.xml
11,3.3D-39*EXP(530/TEMP)*O2,none,NO + NO = NO2 + NO2,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx23_2NO_O2.xhtml_mathml.xml
12,1.8D-11*EXP(110/TEMP),none,NO + NO3 = NO2 + NO2,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx27_NO_NO3.xhtml_mathml.xml
13,4.50D-14*EXP(-1260/TEMP),none,NO2 + NO3 = NO + NO2,categories/uncategorised.htt,2.01101E+13,
14,KMT03,none,NO2 + NO3 = N2O5,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx31_NO2_NO3.xhtml_mathml.xml
15,2.14D-10*H2O,2.14D-10*H2O,O1D = OH + OH,categories/uncategorised.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx7_O1D+H2O.xhtml_mathml.xml
16,1.70D-12*EXP(-940/TEMP),none,OH + O3 = HO2,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx13_HO_O3.xhtml_mathml.xml
17,7.7D-12*EXP(-2100/TEMP),none,OH + H2 = HO2,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx8_HO_H2.xhtml_mathml.xml
18,KMT05,none,OH + CO = HO2,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC10_HO_CO.xhtml_mathml.xml
19,2.9D-12*EXP(-160/TEMP),none,OH + H2O2 = HO2,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx12_HO_H2O2.xhtml_mathml.xml
20,2.03D-16*(TEMP/300)@4.57*EXP(693/TEMP),none,HO2 + O3 = OH,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx15_HO2_O3.xhtml_mathml.xml
21,4.8D-11*EXP(250/TEMP),none,OH + HO2 =,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx11_HO_HO2.xhtml_mathml.xml
22,2.20D-13*KMT06*EXP(600/TEMP),none,HO2 + HO2 = H2O2,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx14_2HO2_(M).xhtml_mathml.xml
23,1.90D-33*M*KMT06*EXP(980/TEMP),none,HO2 + HO2 = H2O2,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx14_2HO2_(M).xhtml_mathml.xml
24,KMT07,none,OH + NO = HONO,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx12_HO_NO.xhtml_mathml.xml
25,KMT08,none,OH + NO2 = HNO3,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx13_HO_NO2.xhtml_mathml.xml
26,2.0D-11,none,OH + NO3 = HO2 + NO2,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx14_HO_NO3.xhtml_mathml.xml
27,3.45D-12*EXP(270/TEMP),3.45D-12*EXP(270/TEMP),HO2 + NO = OH + NO2,categories/uncategorised.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx15_HO2_NO.xhtml_mathml.xml
28,KMT09,none,HO2 + NO2 = HO2NO2,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx16_HO2_NO2.xhtml_mathml.xml
29,3.2D-13*EXP(690/TEMP)*1.0,3.2D-13*EXP(690/TEMP)*1.0,OH + HO2NO2 = NO2,categories/uncategorised.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx11_HO_HO2NO2.xhtml_mathml.xml
30,4.0D-12,none,HO2 + NO3 = OH + NO2,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx18_HO2_NO3.xhtml_mathml.xml
31,2.5D-12*EXP(260/TEMP),none,OH + HONO = NO2,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx9_HO_HONO.xhtml_mathml.xml
32,KMT11,none,OH + HNO3 = NO3,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/NOx10_HO_HONO2.xhtml_mathml.xml
33,4.0D-32*EXP(-1000/TEMP)*M,none,O + SO2 = SO3,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/SOx6_O_SO2_M.xhtml_mathml.xml
34,KMT12,none,OH + SO2 = HSO3,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/SOx15_HO_SO2_M.xhtml_mathml.xml
35,1.3D-12*EXP(-330/TEMP)*O2,none,HSO3 = HO2 + SO3,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/SOx16_HOSO2_O2.xhtml_mathml.xml
36,6.00D-06,none,HNO3 = NA,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/PNOx2_HONO2_hv.xhtml_mathml.xml
37,4.00D-04,none,N2O5 = NA + NA,categories/uncategorised.htt,2.01101E+13,
38,1.20D-15*H2O,none,SO3 = SA,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/SOx47_SO3_H2O.xhtml_mathml.xml
39,J<1>,none,O3 = O1D,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/POx2_O3_hv.xhtml_mathml.xml
40,J<2>,none,O3 = O,categories/uncategorised.htt,2.01103E+13,
41,J<3>,none,H2O2 = OH + OH,categories/uncategorised.htt,2.01101E+13,
42,J<4>,none,NO2 = NO + O,categories/uncategorised.htt,2.01101E+13,
43,J<5>,none,NO3 = NO,categories/uncategorised.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/PNOx5_NO3_hv.xhtml_mathml.xml
44,J<6>,none,NO3 = NO2 + O,categories/uncategorised.htt,2.01101E+13,
45,J<7>,none,HONO = OH + NO,categories/uncategorised.htt,2.01101E+13,
46,J<8>,none,HNO3 = OH + NO2,categories/uncategorised.htt,2.01101E+13,
49,1.85D-12*EXP(-1690/TEMP),1.85D-12*EXP(-1690/TEMP),OH + CH4 = CH3O2,categories/saunders-2003-4_1_1-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC1_HO_CH4.xhtml_mathml.xml
2744,6.6D-12*EXP(-1240/TEMP),none,CL + CH4 = CH3O2,categories/jenkin-1997-3_9_1-master.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/X_VOC2_Cl_CH4.xhtml_mathml.xml
50,2.3D-12*EXP(360/TEMP)*0.999,2.3D-12*EXP(360/TEMP)*0.999,CH3O2 + NO = CH3O + NO2,categories/saunders-2003-4_6_1-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_1_CH3O2_NO.xhtml_mathml.xml
51,2.3D-12*EXP(360/TEMP)*0.001,none,CH3O2 + NO = CH3NO3,categories/saunders-2003-4_6_1-gen-master.htt,2.01103E+13,
52,7.2D-14*EXP(-1080/TEMP)*O2,none,CH3O = HCHO + HO2,categories/saunders-2003-4_8_1-master.htt,2.01103E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/RO_1_CH3O_O2.xhtml_mathml.xml
53,KMT13,none,CH3O2 + NO2 = CH3O2NO2,categories/saunders-2003-4_6_2-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_9_CH3O2_NO2_M.xhtml_mathml.xml
54,KMT14,none,CH3O2NO2 = CH3O2 + NO2,categories/uncategorised.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_10_CH3O2NO2_M.xhtml_mathml.xml
55,1.2D-12,1.2D-12,CH3O2 + NO3 = CH3O + NO2,categories/saunders-2003-4_6_3-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_19_CH3O2_NO3.xhtml_mathml.xml
56,3.8D-13*EXP(780/TEMP)*(1-1/(1+498*EXP(-1160/TEMP))),3.8D-13*EXP(780/TEMP)*0.9,CH3O2 + HO2 = CH3OOH,categories/saunders-2003-4_6_4-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC51_HO2_CH3O2.xhtml_mathml.xml
57,2*KCH3O2*RO2*7.18*EXP(-885/TEMP),2*(KCH3O2*7.4D-13*EXP(-520/TEMP))@0.5*RO2,CH3O2 = CH3O,categories/saunders-2003-4_6_5-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_22_CH3O2_CH3O2.xhtml_mathml.xml
