t,ts,RO2HO2,RO2NO,RO2NO2,RO2,HO2,OH,NO3,J,NO,RO2NO3,concs,
1,1,2.8534892655997214e-11,9.579010902269835e-13,0,0.0,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,8.835369329035546e-6,0,0,0.0,
2,2,2.8534892655997214e-11,9.579010902269835e-13,0,0.00010005784662875714,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.0193560407685915e-5,0,0,2825.003809017003,
3,3,2.8534892655997214e-11,9.579010902269835e-13,0,7.517274615674235e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.156075941348032e-5,0,0,6260.672619091648,
4,4,2.8534892655997214e-11,9.579010902269835e-13,0,7.12063269932463e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.2921893264258658e-5,0,0,12093.933681298944,
5,5,2.8534892655997214e-11,9.579010902269835e-13,0,7.985984009616848e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.426345342092221e-5,0,0,24103.750022018936,
6,6,2.8534892655997214e-11,9.579010902269835e-13,0,9.861195835869298e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.5574963677419497e-5,0,0,50352.62423006568,
7,7,2.8534892655997214e-11,9.579010902269835e-13,0,0.00012731101674748766,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.6847471233024522e-5,0,0,108559.09536737493,
8,8,2.8534892655997214e-11,9.579010902269835e-13,0,0.00016727217777997292,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.807486321731059e-5,0,0,235700.35793515376,
9,9,2.8534892655997214e-11,9.579010902269835e-13,0,0.00021756539005781918,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.925327456204824e-5,0,0,499347.3894901312,
10,10,2.8534892655997214e-11,9.579010902269835e-13,0,0.0002764399842747832,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.0377508254368088e-5,0,0,991474.0699931275,
11,11,2.8534892655997214e-11,9.579010902269835e-13,0,0.0003363075907855576,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.1439976138911637e-5,0,0,1.7597520927854616e6,
12,12,2.8534892655997214e-11,9.579010902269835e-13,0,0.00039122112130379424,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.2434976026383154e-5,0,0,2.681528082634994e6,
13,13,2.8534892655997214e-11,9.579010902269835e-13,0,0.00043284247353344966,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.3364793921417827e-5,0,0,3.4429687236750363e6,
14,14,2.8534892655997214e-11,9.579010902269835e-13,0,0.00045670434038942926,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.4233612954515408e-5,0,0,3.7525543404547283e6,
15,15,2.8534892655997214e-11,9.579010902269835e-13,0,0.0004630254074579149,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.50439674454762e-5,0,0,3.560428259157258e6,
16,16,2.8534892655997214e-11,9.579010902269835e-13,0,0.0004543354926118015,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.579687799385774e-5,0,0,3.0407772001639437e6,
17,17,2.8534892655997214e-11,9.579010902269835e-13,0,0.0004352815088900667,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.6491916086781897e-5,0,0,2.418536619578526e6,
18,18,2.8534892655997214e-11,9.579010902269835e-13,0,0.00041159805573211987,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.712377652602147e-5,0,0,1.8470979287247835e6,
19,19,2.8534892655997214e-11,9.579010902269835e-13,0,0.00038535827776843784,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.7686993889199347e-5,0,0,1.3880873505180723e6,
20,20,2.8534892655997214e-11,9.579010902269835e-13,0,0.0003585942172426802,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.8179276703380148e-5,0,0,1.0445339382640196e6,
21,21,2.8534892655997214e-11,9.579010902269835e-13,0,0.0003359095161230669,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.8603478972749528e-5,0,0,796743.1020079112,
22,22,2.8534892655997214e-11,9.579010902269835e-13,0,0.00031355705599301866,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.8962442303510595e-5,0,0,620615.6870266747,
23,23,2.8534892655997214e-11,9.579010902269835e-13,0,0.0002917195342238187,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.9257941306879087e-5,0,0,495359.1958597897,
24,24,2.8534892655997214e-11,9.579010902269835e-13,0,0.00027362973356841625,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.9490438089064466e-5,0,0,405160.2283219177,
25,25,2.8534892655997214e-11,9.579010902269835e-13,0,0.0002593272404755282,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.965977021326549e-5,0,0,339119.8443706817,
26,26,2.8534892655997214e-11,9.579010902269835e-13,0,0.00024342261903195696,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.976587654612683e-5,0,0,289791.90527958475,
27,27,2.8534892655997214e-11,9.579010902269835e-13,0,0.00022972904925801346,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.9808747079399686e-5,0,0,252172.5801193108,
